epoch,training_loss,normal_validation_loss
1,0.07913760323325793,0.03962513183554014
2,0.03196898637513319,0.023270865177114804
3,0.018986181430021922,0.014240511268377304
4,0.012736270847916602,0.010129720707734427
5,0.009636838021874428,0.007910581560184558
6,0.007965363121032715,0.006531145961334308
7,0.006760774922619264,0.005601139098405838
8,0.005948457247018814,0.004790053617209196
9,0.005292808927595615,0.004232485159610709
10,0.004801333244393269,0.003796854767948389
11,0.004338459792112311,0.003527251172810793
12,0.004079334524646401,0.0032345056515187026
13,0.0038458948086947204,0.0029989701087276143
14,0.0036543701513359946,0.002865912624945243
15,0.003500188955292106,0.0026729234997183086
16,0.003314626237625877,0.002502366755778591
17,0.0031570740677416323,0.0023987922836095094
18,0.0030115493396917978,0.002236520650796592
19,0.002875547185043494,0.0020843851529061793
20,0.0027194526766737303,0.001939490538711349
21,0.0025588738078872364,0.0018836254151538014
22,0.0024533948838710786,0.0017271775205930074
23,0.00239411950558424,0.0016660303249955177
24,0.0023040775371094544,0.0016878260243684054
25,0.00223155744249622,0.001578511720833679
26,0.002157658774467806,0.0014896304827804368
27,0.0021287490605687103,0.0014414579896256327
28,0.0020887972491482895,0.001434516911705335
29,0.0020436713012556237,0.0013932355837896467
30,0.0020088147194435198,0.001344887426123023
